team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Guatemala,Guatemala,CONCACAF,45.0,14.0,59.0,0.7627118644067796,0.23728813559322035,0.951546439067467,0.9354193500765609,1.4715423982894924,1.0626349886355615,1.0336048575185244,0.8910824221338595,0.8910824221338595,1.360886526787673,1.002561362221205,0.95673367191633
Guinea,Guinea,CAF,32.0,6.0,38.0,0.8421052631578947,0.15789473684210525,1.2429547551544924,1.2218887922912491,1.2147992699695198,1.2207693940299233,1.1874191882194984,0.9717904898448192,0.9717904898448192,0.8608967455926857,0.954280951278693,0.9106601879548891
Guinea-Bissau,Guinea-Bissau,CAF,27.0,6.0,33.0,0.8181818181818182,0.18181818181818182,0.9725146136894764,0.9560321499063137,0.5728092478920201,0.8863552586309876,0.8621409144304717,1.0909890770563515,1.0909890770563515,1.3734069698701183,1.1423377848406728,1.0901208291510471
Guyana,Guyana,CONCACAF,31.0,4.0,35.0,0.8857142857142857,0.11428571428571428,0.6489125274523873,0.6379145670293579,0.2377917194617226,0.5921862415930567,0.5760083023919151,1.93851483832954,1.93851483832954,0.4873547240202178,1.7726679681227604,1.6916382359610118
Haiti,Haiti,CONCACAF,24.0,11.0,35.0,0.6857142857142857,0.3142857142857143,1.0046564882603777,0.9876292745309617,1.1160246681815404,1.0279821125354294,0.9998986635317499,1.421069821738626,1.421069821738626,0.9414832298049722,1.270342607130906,1.2122744730750499
Honduras,Honduras,CONCACAF,41.0,13.0,54.0,0.7592592592592593,0.24074074074074073,1.2605160814273813,1.2391524840399852,0.6742431388762331,1.1031557898338968,1.0730186707253713,0.9264465397650504,0.9264465397650504,0.7936244502375315,0.8944708515454626,0.8535840442975298
Hong Kong,Hong Kong,AFC,40.0,8.0,48.0,0.8333333333333334,0.16666666666666666,0.2824578965835465,0.27767071705413615,0.3578263828580704,0.2910299946881252,0.2830793446576429,1.0920994454676556,1.0920994454676556,1.5444931126854322,1.1674983900039517,1.114131327732569
Hungary,Hungary,UEFA,35.0,8.0,43.0,0.813953488372093,0.18604651162790697,1.8176536334561992,1.786847504929125,2.1581403012335887,1.8559252344741417,1.8052232027544994,0.7032336274440256,0.7032336274440256,1.0038130513741326,0.7591553807333479,0.7244539260468753
Iceland,Iceland,UEFA,38.0,8.0,46.0,0.8260869565217391,0.17391304347826086,1.668737663723261,1.6404554068617712,1.9776014987155748,1.6990895097928675,1.6526720741010474,0.910996964993715,0.910996964993715,0.8870555316734687,0.9068332374597591,0.8653813380244967
India,India,AFC,32.0,5.0,37.0,0.8648648648648649,0.13513513513513514,0.3221065661533629,0.3166474093075853,0.0591716763507423,0.28185339134044435,0.2741534369874442,0.9597820319289464,0.9597820319289464,2.243765453350884,1.1332933050940732,1.0814897780806512
